Argument ID,Worker ID,Premise,simplified_Value_lvl2_ann
A12487,W015,for a child to live in a foster home must be better than alternatives.  they have a chance of a loving home and even adoption.,"[0, 0, 0, 0, 1, 0, 0, 0]"
A12490,W015,the right to keep and bear arms should be abolished because countries with strict gun control are far safer because they have far fewer incidents of violent gun crime,"[0, 0, 1, 0, 0, 0, 0, 0]"
A18008,W015,we should ban fast food because all of the chemicals it is made with is unhealthy and makes you obese,"[1, 1, 0, 0, 0, 0, 0, 0]"
A18017,W015,we should subsidize embryonic stem cell research because it will help many people as long as it is successfully done.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A18018,W015,it makes a mockery of voting for your political party of choice if the end result is a multi-party system which will lead to people not voting if they feel they do not have a say.,"[1, 0, 0, 0, 0, 0, 1, 0]"
A18019,W015,mandatory retirement leaves openings in the job force for those that are stronger and more capable of doing the jobs.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A18027,W015,"the interest rate when failing to pay back in time can be as high as 300%, making your financial situation even more difficult.","[0, 0, 0, 1, 0, 1, 0, 0]"
A18030,W015,a child who is the result of human cloning will have psychological problems because they are not allowed to be their own person,"[0, 1, 0, 0, 0, 0, 0, 0]"
A18036,W015,"capital punishment is absolutely needed. it acts as a deterrent to prevent future crime. if a person knows they can be killed for their crime, it deters them and also makes sure they aren't released from prison","[1, 0, 1, 0, 0, 0, 0, 0]"
A18037,W015,"school uniform helps all children attend on a level playing field, free from worry about trying to keep up with expensive fashion trends.","[1, 0, 0, 1, 0, 0, 0, 0]"
A18039,W015,Some violent and extreme behaviours in schools deserve a fierce and sharp reaction.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A18051,W015,"According to multiple studies, children who go through the foster care system are more likely to deal with mental health issues and disorders than their peers.","[0, 1, 0, 0, 0, 0, 0, 0]"
A18053,W015,we need the cures and treatments we can get by funding stem cell research.,"[1, 1, 0, 0, 0, 0, 0, 0]"
A18055,W015,Homeopathy is not legally regulated and there is no requirement of formal training of homeopathic expert or physician,"[1, 0, 0, 0, 0, 0, 0, 0]"
A18074,W015,allowing people to use a gateway drug like cannabis is steering them towards a life of addiction.,"[0, 1, 0, 0, 0, 0, 0, 0]"
A18075,W015,school prayer should be allowed in school because it is what our country was founded on.  those who disagree could just abstain from the prayer.,"[0, 1, 0, 0, 1, 0, 0, 0]"
A18088,W015,many people do not have the mental capacity to understand the reasons to defend themselves and the usage of public defenders should be mandatory.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A18095,W015,"people may choose to defend themselves, if they believe it to be in their best interests","[0, 0, 0, 0, 0, 0, 1, 0]"
A18132,W015,having a child that is genetically connected to you is very important to many people,"[0, 0, 0, 0, 1, 0, 0, 0]"
A18133,W015,to pick out one religion out of many to ban would be an infringement of the freedom to practice any religion of your choosing.,"[0, 0, 0, 0, 0, 0, 1, 0]"
A18134,W015,we should not adopt libertarianism for fear of the threat to law and order.,"[0, 0, 1, 0, 0, 0, 0, 0]"
A18151,W015,holocaust denial shouldn't be a criminal offense because it goes against freedom of speech,"[0, 0, 0, 0, 1, 0, 1, 0]"
A18152,W015,"if a company has received enough profits to offer bonuses to their executives, the money could be better spent on giving bonuses to poorer staff members at the bottom of the chain.","[1, 0, 0, 0, 0, 0, 0, 0]"
A18155,W015,economic sanctions are an effective way to signify that human rights abuses will not be tolerated.,"[1, 0, 0, 0, 1, 0, 1, 0]"
A18162,W015,"school uniformlimits a childs ability to express themselves, experiment and develop as a person","[0, 0, 1, 0, 0, 0, 1, 0]"
A18165,W015,"Algorithmic trading can operate 24 hours a day. While you sleep, your algorithms are making you money.","[0, 1, 0, 0, 1, 0, 0, 0]"
A18202,W015,surrogacy allows women to have a child who would not otherwise be able to become a mother,"[1, 0, 0, 0, 0, 0, 1, 0]"
A18203,W015,"judicial activism,  bringing a personal touch of the judge,  is  the best way to apply laws and rules for our society.","[0, 0, 0, 0, 0, 0, 1, 0]"
A18216,W015,people should be able to choose what they want to eat,"[0, 0, 0, 0, 1, 0, 1, 0]"
A18218,W015,it makes a school a safe place for children to learn,"[0, 0, 0, 1, 0, 0, 0, 0]"
A18256,W015,Missionary work forces the opinions of others onto individuals that didn't consent or want the religion.,"[0, 0, 0, 0, 0, 0, 1, 0]"
A18257,W015,they can be useful in emergency situations,"[0, 0, 0, 1, 0, 0, 0, 0]"
A18258,W015,"Students are and will always be the backbone of the society. It's compulsory to support these growing students in becoming true, well educated citizens to support the economy.","[1, 0, 1, 0, 0, 0, 0, 0]"
A18259,W015,we should abolish safe spaces as policing these areas is costly and it is against human rights to stop freedom of movement into different areas.,"[0, 0, 1, 0, 1, 1, 0, 0]"
A18260,W015,Factory farming should be banned as it is an unhealthy and uncaring atmosphere in which to raise animals and doesn't result in a good quality product at the end.,"[1, 1, 0, 0, 0, 0, 0, 0]"
A18276,W015,zoos provide the only places for some endangered species to survive that they are essential and we should not abolish them we need to support them and their breeding programs.,"[0, 1, 0, 0, 0, 0, 0, 0]"
A18277,W015,The use of public defenders should be mandatory in order to make wealthy people invested in the success of the public defender system.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A18278,W015,pride parades have now grown to the point where they are increasingly difficult to police and the scale of the events now need to be looked at to ensure the safety of all participants.,"[0, 0, 1, 0, 0, 0, 0, 0]"
A18296,W015,people should be able to keep weapons as a form self defence to defend their property and themselves,"[1, 0, 0, 0, 0, 0, 0, 0]"
A18297,W015,absolutely not.  the great president donald trump is turning the country around and saving us from the financial disaster that the last eight years were leading the united states towards.,"[0, 0, 1, 1, 0, 0, 0, 0]"
A18299,W015,banning cosmetic surgery would take the pressure off people to look a certain way that media and society dictates.,"[0, 0, 0, 0, 0, 0, 1, 0]"
A18300,W015,"Testing anxiety can bias the results, leading to inaccurate results.","[0, 0, 0, 0, 0, 1, 0, 0]"
A18316,W015,cosmetic surgery is dangerous for all ages but especially so for minors therefore it should be banned for their age.,"[0, 1, 0, 0, 0, 1, 0, 0]"
A18317,W015,Assisted suicide helps those who are in pain due to a devastating disease end their own lives on their own terms.,"[0, 0, 0, 0, 0, 0, 1, 0]"
A18318,W015,We should not adopt an austerity regime because this move hurt people that are living on their pensions and people pay more taxes and this hurt a lot of people,"[0, 0, 0, 1, 0, 1, 0, 0]"
A18321,W015,Three strikes laws lead to prison over-population since more offenders are put away for a longer time. This leads to worse prison conditions and more violence in prisons.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A18325,W015,a person should be allowed to choose what happens to their bodies,"[0, 0, 0, 0, 1, 0, 1, 0]"
A18332,W015,targeted killings need to stop because the bad guys need to be caught and brought to trial if possible,"[0, 0, 0, 0, 0, 1, 0, 0]"
A18335,W015,"Mandatory retirement is discriminatory on the basis of age, which is an immutable characteristic much like gender or race in that one has no control over it.","[0, 0, 0, 0, 0, 1, 0, 0]"
A18347,W015,vocational education doesn't need to be subsidized.  it's an option and is up to the person to choose it and subsequently pay for it as well.,"[0, 0, 0, 0, 0, 0, 0, 1]"
A18348,W015,social media is dangerous and out of control.,"[0, 0, 1, 0, 0, 0, 0, 0]"
A18350,W015,military is a big organization that needs private company to supply their needs,"[1, 0, 0, 0, 0, 0, 0, 0]"
A18361,W015,safe spaces provide a valuable service to those who may be suffering from ptsd,"[1, 0, 0, 0, 0, 0, 0, 0]"
A18363,W015,"it isn't the obligation of any tax payer to give money to help someone else get an education.  that is a personal choice, and if they want to go to college they need to pay for it on their own.","[0, 0, 0, 0, 0, 1, 0, 1]"
A18411,W015,we should not adopt atheism because everyone should have something to believe in.,"[0, 0, 0, 0, 0, 0, 0, 1]"
A18412,W015,using child actors can create unimaginable pressure ans stress on the child if they become a star or the production is a success and this can lead to substance abuse problems to cope with said pressure,"[0, 1, 0, 0, 0, 1, 0, 0]"
A18414,W015,the only thing a blockade does is affect the people at the bottom as they suffer from the loss of jobs and supplies,"[0, 0, 0, 1, 0, 1, 0, 0]"
A18446,W015,judicial activism should be limited because a judge should not be making all decisions.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A18447,W015,collectivism bands people together to solve problems in their communities,"[0, 0, 1, 0, 0, 0, 0, 0]"
A18448,W015,capital punishment is fair if the person had killed someone as they are only getting what they have dealt.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A18449,W015,libertarians are more fair than other politicians.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A18464,W015,"We should legalize sex selection because a ban leads to dangerous back alley procedures, and to more abortions and female infanticide","[0, 1, 0, 0, 0, 0, 0, 0]"
A18472,W015,The blockade is an alternative to conventional warfare against Gaza which would cause more harm / death to Palestinians.,"[1, 0, 1, 0, 0, 0, 0, 0]"
A18474,W015,wikipedia is a valuable resource that deserves funding,"[1, 0, 0, 0, 0, 0, 0, 0]"
A18475,W015,vocational education should be subsidized as the majority of those studying would be from lower income families.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A18476,W015,"we should ban targeted killings because it is in essence just murder when done outside of wartime.  it is, in fact, an act of war and could create more problems.","[0, 0, 1, 0, 0, 0, 0, 0]"
A18477,W015,factory farming is a way of producing cheap meat. without it poorer people may not be able to afford it and may become malnourished.,"[0, 1, 0, 1, 0, 0, 0, 0]"
A18478,W015,some people choose not to vote for ethical reasons.,"[0, 0, 0, 0, 1, 0, 1, 0]"
A18480,W015,sex is determined at birth and not something a person should be allowed to change or decide for themselves.,"[0, 0, 0, 0, 1, 0, 0, 0]"
A19043,W015,"public defenders are overworked and already with a low salary, thus they may not be that beneficial.","[0, 0, 0, 0, 0, 1, 0, 0]"
A19044,W015,we live in an open society where freedom of religious expression is allowed. to go against that would be a betrayal of western values.,"[0, 0, 0, 0, 0, 0, 1, 1]"
A19056,W015,"We should not adopt zero tolerance policies because they have not improved school discipline in other districts, only introduced more punishments for students.","[1, 0, 0, 0, 0, 0, 0, 0]"
A19057,W015,cosmetic surgery could lead to unforeseen problems in young people whose bodies are still growing and maturing,"[1, 0, 0, 0, 0, 0, 0, 0]"
A19058,W015,embryonic stem cell research is immoral.,"[0, 0, 0, 1, 0, 0, 0, 0]"
A19060,W015,"fast food is no more unhealthy than  some gourmet food its just  cheaper and made with less costly ingredients. fast food is not the issue, lack of control in eating it is the reason people are fat.","[0, 0, 0, 1, 0, 1, 0, 0]"
A19121,W015,we shouldn't ban human cloning as it could help aid genetic medical problems,"[1, 0, 0, 0, 0, 0, 0, 0]"
A19122,W015,organ trade must remain illegal. there is far too much potential for corruption and human trafficking/murder if organs can be sold.,"[0, 0, 1, 0, 0, 0, 0, 0]"
A19123,W015,executive compensation is not always effective and takes away from the rest of the employees who do most of the strenuous work,"[1, 0, 0, 0, 0, 1, 0, 0]"
A19124,W015,autonomous cars will provide a way for people who are blind or handicapped a way to travel,"[1, 0, 0, 0, 0, 0, 0, 0]"
A19181,W015,kids should be in school to learn. no one should force religion on them.,"[0, 0, 0, 0, 0, 0, 1, 0]"
A19182,W015,telemarketing can cause distress for people who do not know how to get rid of the callers.,"[0, 0, 0, 1, 0, 0, 0, 0]"
A19184,W015,"judicial activism allows lawful recourse in circumstances of possible justice miscarriages, and is an extra protection against possible corruption and obstructive 'influence' in the higher court.","[1, 0, 0, 0, 0, 1, 0, 0]"
A19185,W015,they are a deterrent for foreign forces not to attack smaller countries,"[1, 0, 0, 0, 0, 1, 0, 0]"
A19213,W015,"executive compensation has hit astronomical levels, widening the pay gap between worker and executive, this has the potential to lead to disharmony and possible conflict.","[0, 0, 0, 0, 0, 1, 0, 0]"
A19215,W015,"i consider it a sensitive issue, however, because of the great conflicts that this brought about in the catholic religion it is necessary to abandon this vow.","[0, 0, 0, 0, 0, 0, 0, 1]"
A19222,W015,mandatory retirement is purely age discrimination,"[0, 0, 0, 0, 0, 1, 0, 0]"
A19223,W015,"Atheism is godless and fundamentally lacking in a coherent moral compass, therefore it should not be adopted.","[0, 0, 0, 0, 0, 0, 0, 1]"
A19224,W015,the trades need more workers and we should encourage kids who aren't college material to pick up a trade.,"[0, 0, 1, 0, 0, 0, 0, 0]"
A19231,W015,School uniforms reinforce a gender binary by often requiring women to wear traditionally feminine clothing like skirts and dresses and men to wear traditionally masculine pants.,"[0, 0, 1, 0, 1, 0, 1, 0]"
A19233,W015,it`s been proven that cannabis has some relief who helping people suffering from terminal illness.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A19246,W015,recent investigations consistently demonstrate a strong link between executions and reduced murder rates,"[1, 0, 0, 0, 0, 0, 0, 0]"
A19247,W015,"cosmetic surgery should be banned.   god made you a certain way and these procedures are going against that.   besides, it could be dangerous as joan rivers died from complications during surgery.","[0, 1, 0, 0, 1, 0, 0, 0]"
A19248,W015,in a competitive market companies have to attract the best talent,"[1, 0, 0, 0, 0, 0, 0, 0]"
A19249,W015,"collectivism aims to work toward what is good for all rather than a single person or group, this means a better society for everyone","[0, 0, 1, 0, 0, 0, 0, 0]"
A19251,W015,homeopathy is sometimes used by people instead of traditional medicine. this  could lead to unnecessary deaths.,"[0, 1, 0, 0, 0, 0, 0, 0]"
A19254,W015,ip rights should be abolished as their original use has long since been abandoned in favor of large organisations abusing their legal powers with them.,"[0, 0, 1, 0, 0, 0, 0, 0]"
A19296,W015,"human cloning opens up a path never before filled with benefits for human beings, allowing in the future the eradication of many diseases.","[0, 1, 0, 0, 0, 0, 0, 0]"
A19297,W015,if someone has no choice it is wrong to insist that they choose,"[0, 0, 0, 0, 1, 0, 1, 0]"
A19322,W015,"embryonic stem cell research may lead to life-saving treatments such as the growing of spare organs, which can save many lives.","[1, 0, 0, 0, 0, 0, 0, 0]"
A19323,W015,"People have a right to be represented by the best when they are facing potential fines, incarceration, or worse. Mandating public defenders strips people of this right.","[0, 0, 0, 0, 1, 0, 1, 0]"
A19325,W015,"nuclear weapons are unique in their destructive power, in the unspeakable human suffering they cause, in the impossibility of controlling their effects in space and time","[1, 0, 1, 0, 0, 0, 0, 0]"
A19328,W015,if people want to get work done it is their choice,"[0, 0, 0, 0, 1, 0, 1, 0]"
A19330,W015,all children should receive the same education to ensure a standard of learning is established.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A19347,W015,a multi-party ensures that all people and voices are heard and represented.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A19348,W015,entrapment should be allowed to help police in tackling crime.,"[0, 0, 1, 0, 0, 0, 0, 0]"
A19349,W015,it can be very beneficial for people with certain illnesses so should be legal,"[1, 0, 0, 0, 0, 0, 0, 0]"
A19350,W015,"killing people is wrong, no matter what crime they committed","[1, 0, 0, 0, 0, 0, 0, 0]"
A19381,W015,"targeted killing is useless and just unfair, no violence should ever be allowed","[1, 0, 1, 0, 0, 1, 0, 0]"
A19384,W015,intelligence test give some people a false sense of superiority and others a feeling of failure. the test does not tell  how successful a person will be and their ability to function in the real world.,"[0, 0, 0, 1, 0, 0, 0, 0]"
A19395,W015,this is too dangerous for the  parents to be. often the surrogate mother changes her mind.,"[0, 0, 0, 0, 1, 0, 0, 0]"
A19436,W015,the right to keep and bear arms is a totally outdated constitutional bedrock that underpins horrifically high rates of gun crime.,"[0, 0, 1, 0, 0, 0, 0, 0]"
A19437,W015,"space exploration advances the frontiers of mankind, and could well discover new resources that will be invaluable due to the depletion of those on earth.","[0, 0, 0, 1, 0, 0, 0, 0]"
A19440,W015,zoos allow animals to live in safety and to have a constant food source,"[1, 0, 0, 0, 0, 0, 0, 0]"
A19451,W015,cosmetic surgery for beautification is unnecessary for minors because their body hasn't finished developing yet.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A19452,W015,we shouldn't legalize organ trade because is horror for familiys,"[0, 0, 0, 0, 1, 0, 0, 0]"
A19453,W015,Zoos are just a place for animals to be locked up and stared at by people.,"[1, 0, 0, 0, 0, 1, 0, 0]"
A19454,W015,the vow of celibacy puts undue pressure on priests to have a lifestyle that is unnatural and has been linked to child abuse cases because of their frustration.,"[1, 0, 0, 0, 0, 1, 0, 0]"
A19469,W015,intelligence tests bring more harm than good because it will give people low self esteem if they get a low score on the test,"[0, 0, 0, 1, 0, 0, 0, 0]"
A19476,W015,guns are much too dangerous and often get in the wrong hands,"[0, 0, 1, 0, 0, 0, 0, 0]"
A19479,W015,we should not adopt atheism as people have the right to believe the way they want when it come to a higher power.,"[0, 0, 0, 0, 0, 0, 1, 0]"
A19488,W015,"there won't be a government to provide order in society, there are many types of evil in this world & because of this people cannot be trusted to respect other people which will lead to violent attacks","[0, 0, 1, 0, 0, 0, 0, 0]"
A19489,W015,we should not ban human cloning because it can help save lifes,"[1, 0, 0, 0, 0, 0, 0, 0]"
A19490,W015,"it's just freedom of speech, you can't arrest someone for not believing something","[0, 0, 0, 0, 0, 0, 1, 0]"
A19496,W015,Allowing cosmetic surgery for minors creates more risk for doctors and therefore more frivolous lawsuits and money spent on malpractice insurance. This is bad for the healthcare system overall.,"[0, 0, 1, 0, 0, 0, 0, 0]"
A19498,W015,we have the right to practice different religions and the church of scientology should not be banned.,"[0, 0, 0, 0, 0, 0, 1, 0]"
A19499,W015,the future of the human race will rely on moving to other planets in the future therefore we need to subsidize space exploration to speed up research.,"[0, 0, 0, 1, 0, 0, 0, 0]"
A19500,W015,Helping someone to commit suicide is no different than murder and needs to be a criminal offence. Life is sacred and must always be seen as such.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A20071,W015,"if not used correctly and for the right symptoms, it could cause serious side effects or make a condition worse.","[0, 1, 0, 0, 0, 0, 0, 0]"
A20072,W015,"government today has way too much influence in our daily lives; libertarianism seeks to reduce said interference, while possibly also reducing the amount of money the government spends.","[0, 1, 1, 0, 0, 0, 0, 0]"
A20074,W015,sex selection should be a choice for parents to make and therefore should be legalized.,"[0, 0, 0, 0, 0, 0, 1, 0]"
A20075,W015,we should ban private military companies because they own weapons and make their own rules and could go rouge.,"[0, 0, 1, 0, 0, 0, 0, 0]"
A20308,W015,Capital punishment denies due process by making it impossible for new evidence or good behavior to change the sentence.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A20318,W015,there are too many incidents of people getting shot either by accident or because people shoot first and ask questions later or even people suddenly becoming unhinged and going on shooting sprees.,"[0, 0, 1, 0, 0, 0, 0, 0]"
A20319,W015,Prostitution promotes the repression of women by men. Legalizing prostitution condones such behavior.,"[1, 0, 0, 0, 0, 1, 0, 0]"
A20320,W015,it's unethical on the animals and just down right cruel,"[1, 0, 0, 0, 0, 0, 0, 0]"
A20471,W015,"Corporations should decide for themselves whether to keep a worker because they are the ones directly impacted, mandatory retirement encroached on corporate rights.","[0, 0, 0, 0, 0, 0, 1, 0]"
A20472,W015,"it costs too much money to explor space, it could be used elsewhere to benefit humans","[0, 0, 0, 0, 0, 0, 0, 1]"
A20473,W015,everyone has opinions about themselves and should be in control of how they treat their bodies,"[0, 0, 0, 0, 0, 0, 1, 0]"
A20474,W015,"celibacy is not a natural state for a human person, and therefore should not be forced on anyone. however, if a person wishes to take a vow of celibacy without being pressured into it, that is acceptable.","[1, 0, 0, 0, 1, 0, 1, 0]"
A20475,W015,we should not because it will cause much less accidents on the road.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A21156,W015,student loans is a help for those who do not have resources,"[1, 0, 0, 0, 0, 0, 0, 0]"
A21157,W015,embyronic stem cell research uses cells that would otherwise just be destroyed.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A21159,W015,families should have the continued option of homeschooling because bullying in schools and such exists.,"[0, 0, 0, 1, 0, 0, 1, 0]"
A21160,W015,homeschooling has proven beneficial for many children,"[1, 0, 0, 0, 0, 0, 0, 0]"
A21216,W015,the use of cannabis does not stop there.  many go for the next high of hashish.  then on to other drugs.  cannabis should not be allowed to stop this progressions.,"[0, 1, 0, 0, 0, 0, 0, 0]"
A21219,W015,wearing uniforms decreases discrimination against children who do not have enough money to buy a lot of clothing,"[1, 0, 0, 1, 0, 0, 0, 0]"
A21220,W015,this measure allows to move pieces in the companies and refresh the work schemes and to adapt to the new times,"[1, 0, 0, 0, 0, 0, 0, 0]"
A21223,W015,nuclear weapons prevent certain countries being attacked and help to keep world peace.,"[0, 0, 1, 0, 0, 0, 0, 0]"
A21224,W015,"the lgbt world has suffered and fought greatly for equal rights, they deserve to have a parade or march in honor of such.","[1, 0, 0, 0, 0, 0, 0, 0]"
A21229,W015,we should not subsidize embryonic stem cell research because these scientists have been working on this a long time.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A21251,W015,there are still people that live off of whaling and banning it would take away their food and income.,"[0, 0, 0, 1, 0, 0, 0, 0]"
A21253,W015,multi-party systems encourage the formation of weak and unstable coalitions that achieve little beyond their own day to day survival,"[1, 0, 0, 0, 0, 0, 0, 0]"
A21255,W015,we should limit executive compensation because most make an unbalanced amount of salary in comparison to their real worth.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A21261,W015,"Legalizing prostitution will allow prostitutes to actually report and press charges against problematic pimps and johns, something they can't do right now.","[0, 0, 0, 0, 0, 1, 0, 0]"
A21262,W015,public defenders are not as good as private lawyers,"[1, 0, 0, 0, 0, 0, 0, 0]"
A21263,W015,we shouldn't have to change the british language to conform to others' needs,"[0, 1, 0, 0, 0, 0, 0, 0]"
A21264,W015,"intelligence tests are skewed toward upper class white males, making the test not a true measure of a person's intelligence","[0, 0, 0, 0, 0, 1, 0, 0]"
A21346,W015,sex selection is unethical and morally wrong - no child should be discarded because of their gender.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A21348,W015,"school prayers are outdated in a modern society, religion is a private matter someone should practice at home","[0, 1, 0, 0, 0, 0, 0, 0]"
A21349,W015,"autonomous cars can be dangerous and promote reckless behavior, so they should discontinue making them.","[0, 0, 1, 0, 0, 0, 0, 0]"
A21350,W015,it is a waste of resources.  we should develop more environmental friendly cars instead.,"[0, 1, 0, 0, 0, 0, 0, 0]"
A21468,W015,human cloning could lead to people replacing themselves with images themselves. this could lead to the end of human evolution which could make us more vulnerable to disease.,"[0, 1, 0, 0, 0, 0, 0, 0]"
A21469,W015,pride parades help promote a diversity of lifestyle options & thinking,"[0, 0, 0, 0, 0, 0, 1, 0]"
A22017,W015,The Olympic games exploit people from abuse of the competitors to sex trafficking among the fans.,"[0, 0, 1, 0, 0, 1, 0, 0]"
A22023,W015,sex selection will have troublesome effects on gender disparity.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A22025,W015,subsidizing journalism allows more voices to be heard,"[0, 0, 0, 0, 0, 0, 1, 1]"
A22076,W015,people selling organs will wait for the highest bidder meaning only rich people will be able to afford the organs they desperately need.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A22078,W015,"entrap should remain illegal, as it wrongly places innocent citizens in situations where they have no choice but to incriminate themselves","[0, 0, 0, 0, 1, 1, 1, 0]"
A22080,W015,the placebo effect is a completely valid form of homeopathy and is used by millions,"[1, 0, 0, 0, 0, 0, 0, 0]"
A22116,W015,we should ban algorithmic trading because is difficult in some economics,"[1, 0, 0, 0, 0, 0, 0, 0]"
A22118,W015,we should limit executive compensation because this would help support all of the workers in a company.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A22119,W015,this is an unnatural process that should be against the law.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A22124,W015,"no one should be forced to vote. it goes against the principles of our nation and its freedoms. it is a right, but that doesn't mean anyone has to do it.","[0, 1, 0, 0, 1, 0, 1, 0]"
A22127,W015,"telemarketing is too often a waste of time.  in an age where most people have ways to see who is calling, the calls rarely, if ever, actually get through.  it's time to find a new way.","[0, 0, 1, 0, 0, 0, 0, 0]"
A22128,W015,"israel is threatened by terrorists operating in the gaza strip, the blockade is necessary to starve these forces of funds.","[1, 0, 1, 0, 0, 0, 0, 0]"
A22131,W015,people should be able to believe what they want.,"[0, 0, 0, 0, 0, 0, 1, 0]"
